달임방,"진성11길 101, 1층 (전하동)"
한빛쌀고추방앗간,
명산식품,동해안로 30-5 (동부동)
홍주떡집,
진원떡고추방앗간,문재3길 40 (방어동)
동울산즉석두부,진성14길 78 (전하동)
전하즉석두부,진성14길 118 (전하동)
현대건강원,"진성14길 77 (전하동,동울산시장1호)"
서울떡집,남목17길 15 (동부동)
고려중탕,화정6길 16 (화정동)
고려건강원,남목17길 1 (동부동)
서부식품,"방어진순환도로 지하 985, 상가2동 지하1층 (서부동, 현대패밀리서부아파트)"
남목즉석두부,남목17길 4 (동부동)
일산과일,번덕2길 21 (일산동)
할배중탕,"녹수7길 32, 2호 (전하동)"
동부떡집,남목18길 2-2 (동부동)
문환중탕,녹수7길 13 (전하동)
명성반찬,남목17길 9 (동부동)
현대떡방앗간,옥류로 57 (동부동)
종로복떡집,남목17길 9 (동부동)
포항탕제원,"진성3길 22, 에이동 101호 (전하동,산성연립)"
황토보원건강원,번덕3길 4 (일산동)
소문난 찬반,"꽃바위5길 43, 1층 (방어동)"
팔도김치,진성14길 77 (전하동)
백년건강원,"옥류로 50-1, 1층 (동부동)"
건강프라자,"대송10길 20, 1층 (화정동)"
미트뱅크,"방어진순환도로 899 (서부동,지하1층)"
안동반찬,화정6길 7 (화정동)
행복한떡방,
낙원떡집,진성14길 68 (전하동)
대명푸드,대송8길 17 (화정동)
삼초전 동울산점,진성14길 72 (전하동)
화정건강원,바드래4길 60 (전하동)
옥이반찬,화정6길 24 (화정동)
소문난족발,대송8길 6 (화정동)
서주네반찬,
종가떡,대송1길 39 (화정동)
금강탕제원,양지5길 31 (화정동)
(주)청담원 (식육제품),"방어진순환도로 637 (일산동,(지하2층))"
웅이네떡집,"화문로 27 (방어동, 102호)"
민영탕제원,"대학길 57 (화정동,지상1층)"
함사랑,"남목9길 42 (서부동,제2동)"
귀분이네 반찬,
떡만드는 앙드레,"방어진순환도로 899 (서부동,지하1층)"
(주)한국인삼공사정관장,"방어진순환도로 899 (서부동,지하1층)"
모드니마트,문재3길 40 (방어동)
참사랑식품,"남목16길 4 (동부동,(1층))"
무등건강원,"화진길 20 (방어동,지상1층)"
성안탕제원,"월봉9길 23 (화정동,지상 1층)"
푸른솔 건강원,"화정8길 6 (화정동,지상 1층)"
(주)제이수산,"방어진순환도로 637 (일산동,홈플러스내(지하2층))"
세명식품,"문재3길 36, 동동 107호 (방어동,문현상가)"
금산건강원,"번덕3길 60 (일산동,지상1층)"
명품떡방,"진성5길 97 (전하동,지상1층)"
(주)미소담은,"방어진순환도로 899 (서부동, 현대백화점 지하 식품매장)"
은혜반찬,화정6길 1 (화정동)
할매반찬,대송9길 16 (화정동)
울엄마반찬,"대송8길 20, 지상1층 (화정동)"
원미정,"진성14길 77, 1층 9호, 10호 (전하동)"
그린반찬,남목18길 16 (동부동)
팜스101,"방어진순환도로 899 (서부동, 현대백화점 울산동구점 지하1층)"
청명유통,"방어진순환도로 899 (서부동, 현대백화점울산동구점 지하1층)"
옹고집찬방,옥류로 54 (동부동)
경상두부,"방어진순환도로 899, 지하1층 (서부동, 현대백화점 울산동구점)"
남목떡방앗간,남목17길 4 (동부동)
(주)현대그린푸드 F-Garden,"방어진순환도로 899 (서부동, 현대백화점울산동구점)"
맛고을,화문로 73 (방어동)
보담정(전통음식연구소),슬도로 5-1 (방어동)
THE 식혜,"남목13길 38, 109호 (동부동, 현대파크맨션상가)"
(주)엄마사랑,"방어진순환도로 637, 지하2층 (일산동)"
세계로 마트,"진성14길 90, 1층 (전하동)"
월봉옹기건강원,화정6길 4 (화정동)
세계로마트,남목16길 4 (동부동)
제일참기름,"남목6길 31, 1층 (서부동)"
세계로마트(주),대송8길 17 (화정동)
대(大)중탕원,동진1길 38 (방어동)
옛날옛떡,"대송로 81, 1층 (일산동)"
두부마을,대송8길 13 (화정동)
(주)미미식품유통,"방어진순환도로 637, 지하2층 (일산동, 홈플러스)"
미다움,"방어진순환도로 899, 지하1층층 (서부동)"
오레시피 울산화정점,"화진길 100 (화정동, 상가2동102호 지상1층)"
제일떡집대송점,"대송1길 30, 1층 (화정동)"
밥도둑 반찬,"남목17길 16, 1층 (동부동)"
개미네,"화정9길 26, 1층 (화정동)"
아기배꼽시계,"학문로 30-1, 1층 (일산동)"
부자떡집,"문재6길 5, 1층 (방어동)"
금덕푸드,"방어진순환도로 899, 현대백화점 지하1층 (서부동)"
큰손 반찬 전문점,"대송8길 13, 1층 (화정동)"
씨스타,"방어진순환도로 637, 홈플러스 지하동 2층 (일산동)"
광명식품,"방어진순환도로 899, 현대백화점 (서부동)"
JEU바리스타학원,"봉수로 311, 1층 (전하동)"
집밥미소,"방어진순환도로 931, 1층 (서부동)"
너의 꽃케이크,"방어진순환도로 801, 1층 (전하동)"
홈플러스 울산동구점,"방어진순환도로 637, 홈플러스 지하동 2층 (일산동)"
만복이네,"진성1길 47, 한라한빛타운 상가 105동 110호 (전하동)"
제제,"꽃바위3길 29, 1층 (방어동)"
웰빙건강프라자,월봉6길 32 (방어동)
오늘도굽다,"학문로 69, 2층 (화정동)"
참 고소미 방앗간,"대송9길 26, 1층 (화정동)"
별하케이크,"안산로 41, 2층 (동부동)"
자유정거장,"진성5길 67, 1층 (전하동)"
주전백숙반찬,동해안로 681 (주전동)
엄마찬스,"화정5길 5, 1층 (화정동)"
행복을나누는도시락,"서진길 26, 1,2층 (방어동)"
김씨네 마카롱공장,"등대로 99, 대왕암상가 C동 4호 (일산동)"
풍성약초,"진성13길 43, 1층 (전하동)"
달다란유유네작업실(Daldaran),"봉수로 314, a동 1층 104호 (전하동)"
대박상회,"화정6길 4, 1층 103호 (화정동)"
주전부리,"월봉10길 18, 화정주공아파트 상가동 2층 203,204호 (화정동)"
청초공방,"동진4길 25, 1층 (방어동)"
케이크당,"학문로 41, 1층 (화정동)"
산너머남촌,"동해안로 596, 2~3층 (주전동)"
주식회사 명진푸드,"꽃바위3길 14, 지하 1층 (방어동)"
해피데이,"봉수로 98, 현대아파트 상가 1층 101호 (화정동)"
미스터팥,"월봉로 42-2, 1층 (화정동)"
명란,"진성6길 72, 1층 (전하동)"
열정오란다,"대송9길 50, 2층 (화정동)"
맘앤맘마동구송정점,"남목15길 32, 힐링하우스 1층 (동부동)"
주니밥풀,"동해안로 69, 2층 (동부동)"
남목식품,"남목17길 4, 1층 108호 (동부동)"
오리궁뎅이,"동해안로 600, 1층 (주전동)"
황가네 간장게장,"화잠6길 37, 그린타워빌 1층 (방어동)"
땅스부대찌개 전하점,"진성4길 48, 1층 (전하동)"
임진,"대송10길 19, 101호 (화정동, 화이트빌)"
"오늘, 반찬","봉수로 250, 302동 1층 108-1호 (전하동, 울산전하푸르지오)"
선빵-Sun Bread,"녹수길 24, 1층 (전하동)"
도도케이크,"명덕2길 10, 지상1층 (서부동)"
(주)일송개발 베이뷰레스토랑,"해수욕장1길 50, 지상2층 (화정동)"
청푸룻,"남목12길 15, 남목현대아파트 상가 3층 301호 (동부동)"
패밀리테이블,"문재3길 40, 2층 211호 (방어동)"
부자집왕족발,"남목17길 15, 지상1층 105호 (동부동)"
꽃차스토리,"동진로 15, 1층 101호 (방어동)"
대구짬뽕,"대송로 4, 1층 (일산동)"
콩새방앗간,"대송9길 24, 1층 (화정동)"
유강이네수제떡집,"문재3길 46, 1층 (방어동)"
카페리움 동구점,"번덕8길 100, 지상1층 (일산동)"
전하당,"봉수로 257, 1층 (전하동)"
도깨비떡방 본점,"월봉11길 18, 1층 (화정동)"
버즈 로스터스,"명덕4길 10, 지상1층 (서부동)"
싱싱알뜰마트,"월봉8길 48, 1층 (화정동)"
ok할인마트,"문재6길 6, 1층 (방어동)"
담꾹울산전하점,"봉수로 290, 2층 212호 (전하동, e편한세상 전하)"
엄마당(디저트작업소),"남목12길 36, 1층 (동부동)"
오리지날,"꽃바위3길 69, 1층 (방어동)"
화로숯불갈비,"미포1길 35, 1층 (동부동)"
정성담다,"진성6길 72, 1층 (전하동)"
달나라떡방아,"남목13길 38, 현대파크맨션 상가 1층 103호 (동부동)"
퍼펙트블루,"월봉10길 70, 1층 (방어동)"
카페드힐링,"꽃바위2가길 31, 1층 (방어동)"
솔마루,"동해안로 620, 1층 (주전동)"
로타베이크(ROTA BAKE),"양지5길 68, 1층 (화정동)"
콩사랑콩장,"대송1길 24, 1층 (화정동)"
나의디미방김치,"진성5길 6, 1층 (전하동)"
온정,"명덕2길 11, 1층 (서부동)"
아그네스,"주전해안길 96, 2층 (주전동)"
울엄마도시락,"대송2길 50, 1층 (화정동)"
오븐씨,"대송7가길 19, 1층 (화정동)"
달보드레,"옥류로 90, 벽산유토피아상가 1층 107호 (동부동)"
채크채크,"등대2길 25, 오닉스빌 1층 101호 (방어동)"
청순이,"대송9길 50, 1층 (화정동)"
우리진케이크,"꽃바위1길 27, 1층 (방어동)"
쿡밀키트전문점,"진성14길 118, 1층 102호 (전하동)"
방어진대왕암수산,"꽃바위5길 26, 1층 (방어동)"
김준호의대단한갈비 울산전하점,"봉수로 290, B-216호 (전하동, e편한세상 전하)"
꽃다반,양지5길 60 (화정동)
김준호의대단한갈비 화정점,"월봉로 36, 1층 (화정동)"
모닝마트,"남목18길 8, 남목시티프라자 1동 1층 143호 (동부동)"
탄탄제과,"등대3길 40, 3층 (방어동)"
식사준비울산화정점,"화진길 100, 상가1동 101호 (화정동, 엠코타운 이스턴베이)"
짱이야꽈배기,"동해안로 12, 1층 (서부동)"
미지,"바드래4길 65, 1층 (전하동)"
연희당,"옥류로 56, 1층 (동부동)"
보글지글 울산방어점,"문재2길 60, 1층 (방어동)"
정선이김치,"동해안로 30-1, 1층 (동부동)"
오늘쉐프울산일산점,"진성9길 2, 1층 101호 (일산동, 삼성힐스파크)"
오늘쉐프서부점,"동해안로 14, 1층 (서부동)"
상오수산,"문현로 22, 1층 (방어동)"
김준호의대단한갈비 울산남목점,"방어진순환도로 1125, 임태균산부인과 1층 (서부동)"
피프티나인59,"내진길 59, 1층 (방어동)"
문현당,"꽃바위5길 9, 블루스카이 1층 (방어동)"
원플러스마트,"남목21길 15, 2층 (동부동)"
하루떡,"방어진순환도로 637, 홈플러스 지하2층 (일산동)"
다드림식자재마트,"동진1길 38, 1층 35호 (방어동, 등대상가아파트)"
카페야,"진성3길 30, 1층 (전하동)"
일산이층집,"방어진순환도로 638, 2층 (일산동)"
우가당,"봉수로 370, 지하1층 103호 (전하동, 전하동현대홈타운)"
미담김치,"대송1길 31, 1층 (화정동)"
단과당,"진성6길 86, 1층 (전하동)"
한마음푸드,"화진길 27, 1층 (방어동)"
한아름 생선가게,"화정6길 24, 1층 (화정동)"
오늘쿡,"방어진순환도로 899, 현대백화점 (서부동)"
보네르(Bonheur),"봉수로 370, B102호 (전하동, 전하동현대홈타운)"
밀포유 울산동구점,"번덕2길 24, 1층 (일산동)"
형제숯불갈비,"동해안로 41, 1층 (동부동)"
몽실몽실 과자점,"동해안로 53-1, 2층 (동부동)"
덕유산유통,"방어진순환도로 637, 홈플러스 (일산동)"
알콩달콩,"화잠1길 13, 1층 (방어동)"
팔레트(Palette),"방어진순환도로 1138, 소망메디컬 1층 (서부동)"
모멘토케이크샵(Momento cake shop),"상진4길 26-3, 1층 (방어동)"
비엔와이(BNY)푸드,"봉수로 290, 상가동 B225호 (전하동, e편한세상 전하)"
(주)한울에프엔비,"방어진순환도로 637, 홈플러스 지하2층 (일산동)"
주식회사 현대백화점,방어진순환도로 899 (서부동)
모드니마트,문재3길 40 (방어동)
한마음식자재유통,화진길 27 (방어동)
동울산슈퍼,화정7길 4 (화정동)
홈플러스마트,서진길 2 (방어동)
한마음마트,"북진5길 6, B101동 (방어동,해피랜드주상복합아파트)"
세계로마트(주),대송8길 17 (화정동)
현대홈마트,"봉수로 450, 116동 B101호 (서부동,서부성원상떼빌)"
떡보의 하루,"방어진순환도로 797, 1층 (전하동)"
호걸F&M,"화진5길 9, 102호 (화정동, 신화그린빌라)"
현대M마트 반찬소분,방어진순환도로 733 (전하동)
한성의료기상사 설국,방어진순환도로 795 (전하동)
(주)홈플러스 울산동구점,"방어진순환도로 637 (일산동,(지하2층))"
세계로마트,"남목16길 4 (동부동,(남목마트내))"
광천농수산물,"남목18길 8, 133호 (동부동,남목시티프라자)"
청명유통,"방어진순환도로 899 (서부동,지하1층)"
(주)에스에스유통,"방어진순환도로 899 (서부동,지하1층)"
세계로 마트,"진성14길 90, 지하1층 (전하동)"
(주)엄마사랑,"방어진순환도로 637, 지하2층 (일산동)"
영마트,등대1길 15 (방어동)
샬리마포린마트,꽃바위로 342 (방어동)
늘푸른마트,"등대3길 40 (방어동, 지상1층)"
Yin Ya(인야),"내진길 57 (방어동, 303호)"
초록들코리아주식회사,방어진순환도로 899 (서부동)
대현식품,"봉수로 170, 1층 (화정동, 금강아파트)"
엠코드림마트,"화진8길 48, 1층 (화정동)"
풍성약초,"진성13길 43, 1층 (전하동)"
대박상회,"화정6길 4, 1층 103호 (화정동)"
명창슈퍼푸드,"대송6길 32, 1층 (화정동)"
싱싱알뜰마트,"월봉8길 48, 1층 (화정동)"
콩사랑콩장,"대송1길 24, 1층 (화정동)"
오월상회,"학문로 103, 지하 1층 (화정동)"
프레쉬푸드마켓,"문현로 22, 1층 (방어동)"
강정형외과,방어진순환도로 799 (전하동)
24시슈퍼,전하로 5 (전하동)
바다슈퍼,일산진11길 203 (일산동)
일출횟집,보밑길 73 (주전동)
상용설비철물,동해안로 40 (동부동)
삼성특기상사,"방어진순환도로 30 (방어동,(주)케이씨씨울산공장 생산부 휴게실)"
삼성특기상사,"방어진순환도로 30 (방어동,(주)케이씨씨울산공장 구내식당)"
삼성특기상사,"방어진순환도로 30 (방어동,(주)케이씨씨울산공장 본관)"
LPG충전소,봉수로 36 (방어동)
소미수퍼,화진5길 12 (화정동)
공원골프클럽(주),봉수로 235 (화정동)
공원골프클럽(주),봉수로 235 (화정동)
우성슈퍼,진성7길 11 (일산동)
한솥식당앞,방어진순환도로 1128 (서부동)
화신슈퍼,명덕3길 16 (서부동)
큰빛교회,
서부파출소,"방어진순환도로 995 (서부동, 111동근처 쉼터(서부동,현대패밀리서부아파트))"
서부파출소,"방어진순환도로 995 (서부동, 105동근처쉼터(서부동 현대패밀리서부아파트))"
종래슈퍼,남목9길 21-13 (서부동)
그린셀프세차장,남목5길 2 (서부동)
동서슈퍼,학문로 25 (일산동)
대송문구사,학문로 87-1 (화정동)
태양오트바이,화진5길 1 (화정동)
정안탕,문재2길 59 (방어동)
현대중공업(주)해양사업부,
동서자판기,방어진순환도로 1000 (전하동)
3M 광택코팅 셀프세차 전문점,꽃바위로 277 (방어동)
야구장,해수욕장10길 8 (일산동)
현대정형외과,방어진순환도로 482 (방어동)
현대슈퍼,월봉10길 68 (방어동)
미포교회,진성2길 19 (전하동)
야구장,방어진순환도로 626 (일산동)
삼성특기상사,방어진순환도로 1000 (전하동)
동구상사,
동구상사,"방어진순환도로 1000 (전하동,체육관,구매부1층,인사부(지하),터빈1층휴게실,터빈1층실외)"
울산수협직매장,성끝길 2 (방어동)
송정마트(과학대점),봉수로 94 (화정동)
현대슈퍼,"화정2길 48, 1층 (화정동)"
동부인력개발,방어진순환도로 522 (방어동)
아톰문구센타,문재7길 11 (방어동)
동구상사(삼정관),"방어진순환도로 1035 (서부동,삼정관)"
우정노조 동울산지부,방어진순환도로 779 (전하동)
벤도피아,방어진순환도로 877 (전하동)
꽃바위공영주차장구내매점,문현로 120 (방어동)
주)홈플러스동구점,방어진순환도로 637 (일산동)
문구야슈퍼야,"학문로 55 (화정동,지상1층(슈퍼앞1대))"
문수자동판매기,"내진길 9 (방어동,지상1층옥외(1층휴게실앞))"
웰빙사우나,녹수8길 60 (전하동)
엘지텔레콤옆,동진로 6 (방어동)
정우밴딩,"방어진순환도로 1100 (동부동,한국프렌지3공장)"
그린마트,"학문로 47-1 (화정동,지상 1층)"
"방어진활어센터, 방어동주민센터",중진2길 27 (방어동)
미래아동병원 매점,"방어진순환도로 1162 (서부동,지상 1층 (실내))"
가영보석,"화문로 68, 1층 (방어동, 511-7)"
바오로성당(앞),명덕로 11-14 (서부동)
금강세탁소,명덕로 21 (서부동)
엘엔씨(LNC),방어진순환도로 100 (방어동)
이마트24 울산방어점,슬도로 25 (방어동)
현대백화점 동구점,방어진순환도로 899 (서부동)
지에스25 울산 명덕점,"명덕로 70 (서부동, 지상1층)"
GS25 일산해변점,"해수욕장길 25 (일산동, 지상1층)"
이마트24 화정대학길점,대학길 36 (화정동)
세븐방어사랑점,북진2길 2 (방어동)
CU화정엠코타운편의점,"화진길 100, 1층 103,104호 (화정동, 엠코타운 이스턴베이 상가2동)"
세븐일레븐울산일산바다2점,"해수욕장10길 60, 1층 (일산동)"
GS25 전하대경점,"바드래길 112, 1층 (전하동)"
세븐일레븐 울산동부신안점,"남목12길 41 (동부동, 지상1층)"
세븐일레븐 울산 대송현대점,"대송3길 8 (화정동, 상가동1층 201호)"
울산동구(화암점)씨유,"꽃바위로 265, 1층 (방어동)"
이마트24 현대문현점,문현2길 13 (방어동)
세븐일레븐 울산동부아성점,남목19길 16 (동부동)
이마트24 울산화암점,"화잠로 116, 1층 (방어동)"
씨유 전하현대패밀리점,"녹수11길 37, 지상동 1층 (전하동)"
CU방어동진점,"동진로 46, 1층 (방어동)"
CU방어경인점,"등대로 8-9, 1층 (방어동)"
씨유(CU)울산파랑새점,방어진순환도로 1118 (서부동)
씨유 화정원룸점,"화정4길 63, 1층 (화정동)"
씨유(CU) 방어명당점,"꽃바위로 323, 1층 (방어동)"
씨유(CU)일산블루점,"번덕8길 31, 1층 (일산동)"
씨유 울산문현아이파크점,"문현6길 20, 1층 (방어동)"
씨유 편의점(화정 주공점),"월봉10길 31, 1층 (화정동)"
씨유(CU)일산사거리점,번덕2길 14 (일산동)
씨유 화정테라스점,"대송11길 65, 1층 (화정동)"
이마트24시울산화정엠코점,"화진5길 11, 1층 (화정동)"
이마트24 울산상진점,상진길 28 (방어동)
씨유주전해안점,"동해안로 617, 104동 1층 101호 (주전동)"
씨유(CU)방어휴먼시아점,"등대4길 25, 상가동 102호 (방어동, 울산방어휴먼시아)"
전망대 매점 앞 자판기,봉수로 155-1 (방어동)
지에스(GS)25 전하로점,"전하로 20, 1층 (전하동)"
씨유 전하이편한세상점,"봉수로 290, 지하동 3층 302호 (전하동, e편한세상 전하)"
지에스(GS)25 울산동구남목점,"동해안로 27, 1층 (동부동)"
지에스25 방어제일점,북진3길 23 (방어동)
영마트,"등대1길 15, 1층 (방어동)"
씨유 울산서부점,"봉수로 450, 116동 1층 109호 (서부동, 서부성원상떼빌)"
씨유 전하아이파크점,"봉수로 270, 101호 (전하동, 전하I'PARK)"
지에스(GS)25 울산서부점,"방어진순환도로 995-2, 서부회관 (서부동)"
이마트24 울산서부점,방어진순환도로 1125 (서부동)
방어동시외버스터미널식당,내진길 5 (방어동)
씨유(CU)서부율전점,명덕5길 27 (서부동)
코리아벤딩,"방어진순환도로 1000, 현대중공업 (전하동)"
씨유(CU)방어한솔점,"꽃바위2길 23, 풍성비치타운 상가 1층 (방어동)"
동진상회,"봉수로 505, 동부도서관 (서부동)"
씨유(CU) 화정자스민점,"양지5길 2, 1층 (화정동)"
세븐일레븐 울산현대중공업점,"방어진순환도로 851, 세븐일레븐 (전하동)"
세븐일레븐 동구대청점,"번덕로 23-1, 1층 (일산동)"
이마트24 울산동구화정점,월봉12길 81 (화정동)
이마트24 울산대송점,"대송4길 26, 1층 (화정동)"
지에스(GS)25 일산샤인점,"해수욕장10길 54, 1층 (일산동)"
디에스(DS)기업,"진성4길 11, 동부경찰서 1층 (전하동)"
지에스(GS)25 울산대왕암점,"등대로 99, 대왕암상가 E동 1층 4호 (일산동)"
지에스(GS)25 울산화진점,"월봉로 71, 1층 (화정동)"
스쿨할인마트,"대송로 57, 1층 (일산동)"
이마트24방어순환점,"방어진순환도로 585, 1층 (화정동)"
이마트24 남목대박점,"동해안로 4, 지상1층 (서부동)"
씨유(CU)일산바다점,"해수욕장10길 14, 1층 (일산동)"
나우커피 화정점,"화진길 100, 1동 1층 113호 (화정동, 엠코타운 이스턴베이)"
공스테이,"번덕로 31-1, 지상1층 101호 (화정동)"
워시큐 울산화정점,"월봉로 37, 지상1층 (화정동)"
스스로커피학문로점,"학문로 38, 지상1층 (일산동)"
울산남목셀프세차장,"안산로 26, 1층 (동부동)"
이마트24화정현대점,"봉수로 106, 현대파라다이스아파트 상가 1층 101호 (화정동)"
(주)아이비푸드이마트24울산과학대동캠점,"봉수로 101, 울산과학대학동부캠퍼스 1층 (화정동)"
멍클라쓰,"해수욕장9길 14, 1층 (일산동)"
162th무인라면&까페,"일산진11길 189, 1층 101호 (일산동)"
세븐일레븐 울산전하푸르지오점,"봉수로 250, 제301동 제지2층 제101호 (전하동, 울산전하푸르지오)"
이마트24 동구전하점,"녹수길 45, 1층 (전하동)"
CU화암스마일,"꽃바위로 163, 1층 (방어동)"
학교앞,"남목9길 33, 1층 (서부동)"
씨유일산스카이점,"해수욕장1길 21, 1층 (일산동)"
이마트24 방어꽃바위점,"꽃바위4길 66, 1층 (방어동)"
이마트24방어남진점,"문재2길 45, 파크빌 1층 (방어동)"
감동창고,"녹수11길 45, 다이아몬드종합상가 105호 (전하동)"
커피봇,"명덕5길 27, 1층 (서부동)"
이마트24 남목사거리점,"동해안로 21, 1층 (서부동)"
24시무인카페(휴게실),"동진5길 71, 나동 2층 (방어동)"
NICCECOFFEE(나이스커피),"화진길 145, 1층 (화정동)"
호걸F&M,"화진5길 9, 102호 (화정동, 신화그린빌라)"
카페아마데우스,"방어진순환도로 871, 2층 (전하동)"
청아인헬스앤라이프,"봉수로 140, 대송현대아파트 상가 105동 1층 202호 (화정동)"
올바르다,"화진길 100, 110동 404호 (화정동, 힐스테이트 이스턴베이)"
현대백화점 동구점,방어진순환도로 899 (서부동)
모드니마트,문재3길 40 (방어동)
한마음식자재유통,화진길 27 (방어동)
한마음마트,"북진5길 6, B101동 (방어동,해피랜드주상복합아파트)"
세계로마트(주),대송8길 17 (화정동)
현대홈마트,"봉수로 450, 116동 B101호 (서부동,서부성원상떼빌)"
현대M마트,방어진순환도로 733 (전하동)
(주)홈플러스 울산동구점,방어진순환도로 637 (일산동)
세계로마트,남목16길 4 (동부동)
세계로 마트,"진성14길 90, 1층 (전하동)"
영마트,등대1길 15 (방어동)
노브랜드 울산방어점,"문현로 1, 1층 (방어동)"
프레쉬마켓,"학문로 103, 지상1~지하1층 (화정동)"
프레쉬푸드마켓,"문현로 22, 1층 (방어동)"
남목식자재할인마트,"남목18길 8, 남목시티프라자 1층 (동부동)"
케이비상사(지에스더프레시울산서부점),"방어진순환도로 995-2, 서부회관 1층 (서부동)"
지에스더프레시울산동부점,"안산로 50, 상가 122동 지하1층 (동부동, 현대패밀리동부아파트)"
(주)현대그린푸드 현대일렉트릭앤에너지시스템 울산1공장식당,"방어진순환도로 700, 현대일렉트릭 지하동 1층 (일산동)"
(주)현대그린푸드 본관식당,"방어진순환도로 1000 (전하동,(본관식당))"
(주)현대그린푸드 선행관식당,"방어진순환도로 1000 (전하동,(도장식당))"
(주)현대그린푸드 외업3관식당,"방어진순환도로 1000 (전하동,(4.5도크식당))"
(주)현대그린푸드 특수선박식당,방어진순환도로 1000 (전하동)
(주)현대그린푸드 인재교육원식당,"봉수로 101 (화정동,외 59필지)"
(주)현대그린푸드 현대건설기계 생산기술관 식당,"방어진순환도로 1000 (전하동,외172필지(건설장비식당))"
(주)현대그린푸드 가공식당,방어진순환도로 1000 (미포동)
(주)현대그린푸드 엔진2식당,방어진순환도로 1000 (서부동)
(주)현대그린푸드 외업식당,"방어진순환도로 1000 (전하동,외172필지(외업식당))"
(주)현대그린푸드 대조립식당,"방어진순환도로 1000 (전하동,외172필지(대조립식당))"
(주)현대그린푸드 통합물류식당,방어진순환도로 1000 (미포동)
(주)현대그린푸드 전하관식당,녹수2길 30 (전하동)
(주)현대그린푸드시스템(삼전관식당),방어진순환도로 1035 (서부동)
(주)현대그린푸드 해양동관식당,
(주)현대그린푸드 화암관,방어진순환도로 400 (방어동)
(주)현대그린푸드 현대백화점동구점,"방어진순환도로 899 (서부동,(현대백화점동구점))"
(주)현대그린푸드 조선생산3관식당,방어진순환도로 1000 (전하동)
(주)현대그린푸드 현대미포조선울산한우리,방어진순환도로 100 (방어동)
(주)현대그린푸드KCC울산점,방어진순환도로 30 (방어동)
(주)아이비푸드울산과학대(동부)학생식당점,봉수로 101 (화정동)
(주)현대그린푸드해양기술관식당,방어진순환도로 400 (방어동)
(주)현대그린푸드 6도크식당,"방어진순환도로 1000 (전하동,외 172필지)"
(주)현대그린푸드 미포기술교육원식당,방어진순환도로 100 (방어동)
(주)현대그린푸드 예비군연대식당,"방어진순환도로 1000 (전하동,외 172필지)"
(주)현대그린푸드 현대중공업사내양식당,"방어진순환도로 1000 (전하동,외 172필지)"
(주)현대그린푸드외업1관식당,"방어진순환도로 1000 (전하동,외 172필지)"
(주)현대그린푸드 엔진별관식당,"방어진순환도로 1000 (전하동,외 172필지)"
(주)현대그린푸드해양문현관식당,"방어진순환도로 100, 현대미포조선 (방어동)"
(주)현대그린푸드 엔진3공장,"방어진순환도로 1000 (전하동,외 172필지)"
(주)현대그린푸드미포별관식당,방어진순환도로 100 (방어동)
(주)현대그린푸드 조선생산4관식당,"방어진순환도로 1000 (전하동,외 172필지)"
(주)현대그린푸드 엔진생산기술관식당,"방어진순환도로 1000 (전하동,외 172필지)"
(주)현대그린푸드 울산현대축구단,새납길 76 (서부동)
(주)현대그린푸드 화암관기숙사식당,"화잠로 53 (방어동,외 7필지)"
(주)현대그린푸드 미포미래관식당,문현6길 41 (방어동)
(주)현대그린푸드 선행식당,방어진순환도로 100 (방어동)
(주)현대그린푸드 미포1식당,"방어진순환도로 100, 현대미포조선 2,3층 (방어동)"
(주)현대그린푸드 현대건설기계 본관식당,방어진순환도로 1000 (일산동)
(주)현대그린푸드 회전기식당,
(주)현대그린푸드 선박해양연구소식당,"방어진순환도로 1000 (전하동,외 121필지)"
(주)현대그린푸드미포6식당,방어진순환도로 100 (방어동)
(주)현대그린푸드 플랜트생산관,방어진순환도로 1000 (전하동)
(주)현대그린푸드미포5식당,방어진순환도로 100 (방어동)
(주)현대그린푸드 현대중공업화암관2동식당,화암10길 20 (방어동)
(주)현대그린푸드 외업2관식당,"방어진순환도로 1000 (전하동, 외 54필지)"
(주)풀무원푸드앤 컬처 현대공업고등학교,"미포로 122 (동부동, 현대공업고등학교)"
(주)현대그린푸드 율전재식당,방어진순환도로 955 (서부동)
울산과학대학교 학생생활관 아이비푸드점,"봉수로 101, 학생생활관동 1층 (화정동, 울산과학대학)"
(주)녹채원현대고등학교,"봉수로 455, 현대고등학교 (서부동)"
(주)진주랑 홈플러스 울산동구점,"방어진순환도로 637, 홈플러스 지하동 1층 (일산동)"
(주)선한푸드앤컬처 울산동부경찰서지점,"진성4길 11, 동부경찰서 4층 (전하동)"
(주)아워홈 신현대청운고등학교울산점,"방어진순환도로 1077, 현대청운고등학교 5층 (서부동)"
(주)현대그린푸드 해양서관,"방어진순환도로 100, 현대미포조선 38동 5층 (방어동)"
방어진차고지올리브푸드,"문현로 120, 1층 (방어동)"
씨제이프레시웨이현대중공업기술재점,미포로 122 (동부동)
씨제이프레시웨이현대중공업기술교육원점,"미포로 100, 현대중공업 기술교육원 (동부동)"
디오븐,방어진순환도로 875 (전하동)
당케베이커리,학문로 35-2 (일산동)
신라 과자점,"진성5길 64, 1층 (전하동, 661-5)"
주가네제빵소,"대학길 47 (화정동, 173-11, 1층, 2층)"
프리미엄 당케베이커리,방어진순환도로 899 (서부동)
파리바게트,대학길 71 (화정동)
뚜레쥬르 울산남목점,동해안로 50 (동부동)
