친구랑 한잔,"옥류로 8 (동부동,201 - 177.178)"
태동실비식당,진성8길 10 (일산동)
평화김해뒷고기,해수욕장길 8 (화정동)
솜사탕,내진1길 5 (방어동)
동구푸드,진성15나길 1 (전하동)
비턴남목점,옥류로 10 (동부동)
지리산 거창막걸리,전하로 23 (전하동)
새맛가든,동진로 45 (방어동)
나만바(NAMANBAR),진성10길 145 (전하동)
동양루,진성8길 64 (전하동)
한솥도시락 울산남목 삼거리점,방어진순환도로 1128 (서부동)
코끼리가든,주밭길 6 (주전동)
스타우트,양지5길 70 (화정동)
부자집왕족발,남목17길 15 (동부동)
세시봉,대학길 138 (화정동)
섬뜰,동진로 42 (방어동)
성원분식,대송8길 3 (화정동)
참옻닭,바드래길 26 (전하동)
해와달,동해안로 589 (주전동)
쉐프의 고깃간,해수욕장1길 7 (일산동)
지코바숯불양념통닭,"방어진순환도로 456 (방어동, 1080-5)"
장수밀면전문점(본점),명덕4길 6 (서부동)
용문각,꽃바위5길 46 (방어동)
민물나라,화잠5길 62 (방어동)
돈통마늘 보쌈,전하로 38 (전하동)
2000짜장,대송로 12 (일산동)
곤지곤지,진성13길 103 (전하동)
뿌리깊은나무,"옥류로 88 (동부동,신하빌라 101호)"
다원,진성13길 102 (전하동)
일품바베큐치킨,옥류로 23 (서부동)
천안문,"화진2길 39, 1층 (방어동)"
통뼈,명덕5길 3 (서부동)
투다리,"화문로 76, 111동 108호 (방어동,현대비치상가)"
교촌치킨 남목서부점,명덕3길 13 (서부동)
지코바통닭 남목점,"옥류로 28, 1층 (동부동)"
도둑과시인,"녹수10길 7, 대화공인중개사 1층 (전하동, 대화공인중개사)"
김밥나라,동해안로 25 (동부동)
남목꼬들목살,옥류로 8 (동부동)
왕뚜껑찜닭&치킨,
정자횟집,"중진길 35, 1층 (방어동)"
고궁다슬기,"학문로 89 (화정동,지상1층)"
금룡,진성3길 42 (전하동)
후구구양꼬치구이,"진성8길 121, 1층 (전하동)"
착한 갈비야,문재7길 12 (방어동)
미소식당,월봉11길 6 (화정동)
고고대패삼겹,진성14길 77 (전하동)
한우포차,진성8길 142 (전하동)
모이세,"월봉로 41 (화정동, 646-35)"
까투리 남목점,미포1길 42 (동부동)
쇠평농장백숙,쇠평길 127 (동부동)
그래그래 피자&떡볶이,봉수로 94 (화정동)
소소한한끼,월봉로 53 (화정동)
푸짐한산곰장어,월봉로 48-8 (화정동)
시골분식,동진로 10 (방어동)
탱크맨식당,옥류로 19 (서부동)
진주횟집,"중진길 55, 1~2층 (방어동)"
중국관,꽃바위5길 15 (방어동)
립스,미포2길 45 (동부동)
신 장군 영양탕,"화잠5길 60, 1층 (방어동)"
호치킨,전하로 17 (전하동)
교촌치킨,"진성13길 90, 1층 (전하동, 634-4)"
오쪽갈비,대학길 161 (일산동)
시인과촌장,문현로 104 (방어동)
봉창이칼국수,방어진순환도로 899 (서부동)
홍보석(동구점),방어진순환도로 899 (서부동)
천지경양식,진성7길 11 (일산동)
오남매뼈다귀해장국,학문로 30 (일산동)
오태식 해바라기치킨,미포1길 21 (동부동)
토종생오리농원,미포3길 6 (동부동)
유가네 한우 곰탕 동구점,"옥류로 24, 1층 (동부동)"
산호횟집,중진길 51 (방어동)
금수강산,진성4가길 30 (전하동)
이모집,명덕로 21 (서부동)
영호집,명덕로 21 (서부동)
남해집,명덕로 21 (서부동)
비어크로두,"전하로 21 (전하동, 619-2)"
태영생막창,옥류로 10-1 (동부동)
용가마,대송8길 20 (화정동)
오태식해바라기치킨 화정방어점,월봉6길 49 (화정동)
자미원숯불갈비,내진길 10 (방어동)
가야 참 밀면,"방어진순환도로 697, 1층 (일산동)"
남목철판떼기,옥류로 13 (서부동)
황제쌈밥숯불갈비,"동진로 17 (방어동,(1층))"
강원식당,내진4길 12 (방어동)
야채왕만두분식,내진길 59 (방어동)
오늘도고기지,전하로 8 (전하동)
다미락,"남목11길 20 (동부동, 목화아파트)"
다정원,옥류3길 4-3 (서부동)
비비큐(bbq) 서부점,명덕3길 9 (서부동)
콩사돈24시전주콩나물국밥,옥류로 7 (서부동)
국수집,월봉12길 47 (화정동)
등뼈감자탕,전하로 6-1 (전하동)
치킨나라,화진1길 7 (방어동)
숯불닭갈비촌,화정7길 55 (화정동)
그집,"진성8길 143 (전하동, 620-3)"
토모참치&연어,명덕6길 11 (서부동)
큰나무식당,진성8길 7 (일산동)
추억의연탄갈비,미포1길 26 (동부동)
모두의곱창동구점,"화진길 113, 1층 (화정동)"
간이역,진성8길 133 (전하동)
울산대학교장례식장식당,"방어진순환도로 877, 울산대학교병원 1층 (전하동)"
티파니양념통닭,"방어진순환도로 975, 상가1동 (서부동, 현대패밀리서부아파트)"
라이브 올드팝스 7080,방어진순환도로 616 (화정동)
정원분식,"대송11길 14-1 (화정동,(2층))"
은경이네회센타,화잠로 97 (방어동)
행복횟집,동해안로 30-1 (동부동)
중국관 상해,"진성10길 136, 1호 (전하동)"
OK맛집,대송로 11 (일산동)
심이네 꽁보리밥,학문로 16 (일산동)
또눈뜨고잤다경양식,옥류3길 6 (서부동)
육회한 형제,대학길 138 (화정동)
오리농장,남목9길 21-21 (서부동)
춘천닭갈비,화문로 31 (방어동)
포메스 숯불치킨,녹수11길 45 (전하동)
남촌 후다닭,번덕1길 19 (일산동)
별이 빛나는 밤에 8090,방어진순환도로 616 (화정동)
숯총각 김사장,번덕8길 120 (일산동)
지코바숯불양념,"월봉로 26, 1층 (화정동)"
돼지연탄구이,미포3길 5 (동부동)
도야지생고기,"진성3길 22, B동 101호 (전하동, 산성연립주택)"
행운식당,진성7길 4 (전하동)
시골여행,화문로 50 (방어동)
삼파전주막,전하로 23 (전하동)
삼오관,산록1길 34 (전하동)
가꾸상 전하점,전하로 20 (전하동)
낭만청춘,진성2길 22 (전하동)
별천지,대학길 142 (화정동)
짱구분식,대송로 9 (일산동)
노는언니,진성8길 135 (전하동)
달구지,명덕2길 3 (서부동)
엄마손김밥,대송1길 20 (화정동)
한마음숯불갈비쌈밥,바드래2길 6 (전하동)
콩쥐 손칼국수,대송7길 50 (화정동)
조마루뼈다귀,방어진순환도로 1141 (서부동)
저팔계 쪽갈비,문재7길 6 (방어동)
오늘 맥주,월봉11길 82 (방어동)
지코바숯불치킨,방어진순환도로 925 (서부동)
주로요기,남진길 18 (방어동)
일향(一香),"남목18길 8 (동부동,(170,171호))"
하루한잔,월봉로 24 (화정동)
3.9 횟집,주전해안길 184 (주전동)
나경집밥,방어진순환도로 899 (서부동)
요꼬치킨,"남목5길 3, 1층 (서부동)"
복이네식당,꽃바위로 328 (방어동)
떳다왕족발,대송8길 3 (화정동)
투다리(월봉점),월봉로 72-1 (화정동)
짬뽕의 달인,"꽃바위로 232-1 (방어동, 1146-6)"
이가복면옥,방어진순환도로 626 (일산동)
땅땅치킨(화정점),"대송1길 49 (화정동, 167-15)"
서울깍두기,학문로 24 (일산동)
쓰촨성 마라탕,"대송로 127 (화정동,(1층))"
크레파스 경양식,진성8길 143 (전하동)
더족발,옥류1길 2 (서부동)
사과나무 꽃향기,전하로 21 (전하동)
동구회포차,학문로 32 (일산동)
교촌치킨,대송로 96 (화정동)
2차닭,월봉로 32 (화정동)
2 floor,"옥류로 6 (동부동,2층)"
단술,"번덕8길 123, 1층 (일산동)"
엄마손막창,화잠로 127 (방어동)
데이&데이,대송로 93 (화정동)
풍년왕뽈떼기,미포5길 6 (동부동)
길벗식당,"동진로 12 (방어동,지상 1층)"
황금정,"진성8길 101 (전하동,1층)"
명아김밥,화문로 56 (방어동)
여주식당,"중진길 24, 1층 (방어동)"
생방송,대학길 134 (화정동)
썸,진성8길 137 (전하동)
빈빈양꼬치,미포3길 10 (동부동)
울할매돼지국밥,방어진순환도로 638 (일산동)
황금불고기버섯전골,진성5길 8 (전하동)
백년식당,"바드래4길 33, 1층 (전하동)"
주식회사 큰사람유통 장수촌 순대 돼지국밥,일산진5길 26 (일산동)
태평양,바드래1길 15 (전하동)
랑데뷰,바드래1길 15 (전하동)
신춤추는닭강정,월봉로 52-1 (화정동)
장춘향,"봉수로 370 (전하동,현대홈타운상가 103호)"
돼지상회,방어진순환도로 621 (일산동)
울산일산맛찬들,해수욕장길 9 (일산동)
맛돈이대구막창,해수욕장3길 10 (일산동)
